Município,Mês,Quantidade
ADELANDIA,February de 2022,0.0
ADELANDIA,March de 2022,0.0
ADELANDIA,April de 2022,0.0
ADELANDIA,May de 2022,0.0
ADELANDIA,June de 2022,0.0
ADELANDIA,July de 2022,0.0
ADELANDIA,August de 2022,0.0
ADELANDIA,September de 2022,0.0
ADELANDIA,October de 2022,0.0
ADELANDIA,November de 2022,0.0
ADELANDIA,December de 2022,0.0
ADELANDIA,January de 2023,0.0
ADELANDIA,February de 2023,0.0
ADELANDIA,March de 2023,0.0
ADELANDIA,April de 2023,0.0
ADELANDIA,May de 2023,0.0
ADELANDIA,June de 2023,0.0
ADELANDIA,July de 2023,0.0
ADELANDIA,August de 2023,0.0
ADELANDIA,September de 2023,0.0
ADELANDIA,October de 2023,0.0
ADELANDIA,November de 2023,0.0
ADELANDIA,December de 2023,0.0
ADELANDIA,January de 2024,1.0
ADELANDIA,February de 2024,0.0
ADELANDIA,March de 2024,0.0
ADELANDIA,April de 2024,0.0
ADELANDIA,May de 2024,0.0
ADELANDIA,June de 2024,0.0
ADELANDIA,July de 2024,0.0
ADELANDIA,August de 2024,0.0
AGUA FRIA DE GOIAS,January de 2021,0.0
AGUA FRIA DE GOIAS,February de 2021,0.0
AGUA FRIA DE GOIAS,March de 2021,0.0
AGUA FRIA DE GOIAS,April de 2021,0.0
AGUA FRIA DE GOIAS,May de 2021,0.0
AGUA FRIA DE GOIAS,June de 2021,0.0
AGUA FRIA DE GOIAS,July de 2021,0.0
AGUA FRIA DE GOIAS,August de 2021,0.0
AGUA FRIA DE GOIAS,September de 2021,0.0
AGUA FRIA DE GOIAS,October de 2021,0.0
AGUA FRIA DE GOIAS,November de 2021,0.0
AGUA FRIA DE GOIAS,December de 2021,0.0
AGUA FRIA DE GOIAS,January de 2022,0.0
AGUA FRIA DE GOIAS,February de 2022,0.0
AGUA FRIA DE GOIAS,March de 2022,0.0
AGUA FRIA DE GOIAS,April de 2022,0.0
AGUA FRIA DE GOIAS,May de 2022,0.0
AGUA FRIA DE GOIAS,June de 2022,0.0
AGUA FRIA DE GOIAS,July de 2022,0.0
AGUA FRIA DE GOIAS,August de 2022,0.0
AGUA FRIA DE GOIAS,September de 2022,0.0
AGUA FRIA DE GOIAS,October de 2022,0.0
AGUA FRIA DE GOIAS,November de 2022,0.0
AGUA FRIA DE GOIAS,December de 2022,0.0
AGUA FRIA DE GOIAS,January de 2023,0.0
AGUA FRIA DE GOIAS,February de 2023,0.0
AGUA FRIA DE GOIAS,March de 2023,0.0
AGUA FRIA DE GOIAS,April de 2023,0.0
AGUA FRIA DE GOIAS,May de 2023,0.0
AGUA FRIA DE GOIAS,June de 2023,0.0
AGUA FRIA DE GOIAS,July de 2023,0.0
AGUA FRIA DE GOIAS,August de 2023,0.0
AGUA FRIA DE GOIAS,September de 2023,0.0
AGUA FRIA DE GOIAS,October de 2023,0.0
AGUA FRIA DE GOIAS,November de 2023,0.0
AGUA FRIA DE GOIAS,December de 2023,0.0
AGUA FRIA DE GOIAS,January de 2024,0.0
AGUA FRIA DE GOIAS,February de 2024,0.0
AGUA FRIA DE GOIAS,March de 2024,0.0
AGUA FRIA DE GOIAS,April de 2024,0.0
AGUA FRIA DE GOIAS,May de 2024,0.0
AGUA FRIA DE GOIAS,June de 2024,0.0
AGUA FRIA DE GOIAS,July de 2024,0.0
AGUA FRIA DE GOIAS,August de 2024,0.0
AGUA LIMPA,January de 2021,0.0
AGUA LIMPA,February de 2021,0.0
AGUA LIMPA,March de 2021,0.0
AGUA LIMPA,April de 2021,0.0
AGUA LIMPA,May de 2021,0.0
AGUA LIMPA,June de 2021,0.0
AGUA LIMPA,July de 2021,0.0
AGUA LIMPA,August de 2021,0.0
AGUA LIMPA,September de 2021,0.0
AGUA LIMPA,October de 2021,0.0
AGUA LIMPA,November de 2021,0.0
AGUA LIMPA,December de 2021,0.0
AGUA LIMPA,January de 2022,0.0
AGUA LIMPA,February de 2022,0.0
AGUA LIMPA,March de 2022,0.0
AGUA LIMPA,April de 2022,0.0
AGUA LIMPA,May de 2022,0.0
AGUA LIMPA,June de 2022,0.0
AGUA LIMPA,July de 2022,0.0
AGUA LIMPA,August de 2022,0.0
AGUA LIMPA,September de 2022,0.0
AGUA LIMPA,October de 2022,0.0
AGUA LIMPA,November de 2022,0.0
AGUA LIMPA,December de 2022,0.0
AGUA LIMPA,January de 2023,0.0
AGUA LIMPA,February de 2023,0.0
AGUA LIMPA,March de 2023,0.0
AGUA LIMPA,April de 2023,0.0
AGUA LIMPA,May de 2023,0.0
AGUA LIMPA,June de 2023,0.0
AGUA LIMPA,July de 2023,0.0
AGUA LIMPA,August de 2023,0.0
AGUA LIMPA,September de 2023,0.0
AGUA LIMPA,October de 2023,0.0
AGUA LIMPA,November de 2023,0.0
AGUA LIMPA,December de 2023,0.0
AGUA LIMPA,January de 2024,0.0
AGUA LIMPA,February de 2024,0.0
AGUA LIMPA,March de 2024,0.0
AGUA LIMPA,April de 2024,0.0
AGUA LIMPA,May de 2024,0.0
AGUA LIMPA,June de 2024,0.0
AGUA LIMPA,July de 2024,0.0
AGUA LIMPA,August de 2024,0.0
AGUAS LINDAS DE GOIAS,January de 2021,0.0
AGUAS LINDAS DE GOIAS,February de 2021,1.0
AGUAS LINDAS DE GOIAS,March de 2021,2.0
AGUAS LINDAS DE GOIAS,April de 2021,1.0
AGUAS LINDAS DE GOIAS,May de 2021,1.0
AGUAS LINDAS DE GOIAS,June de 2021,2.0
AGUAS LINDAS DE GOIAS,July de 2021,2.0
AGUAS LINDAS DE GOIAS,August de 2021,1.0
AGUAS LINDAS DE GOIAS,September de 2021,1.0
AGUAS LINDAS DE GOIAS,October de 2021,0.0
AGUAS LINDAS DE GOIAS,November de 2021,0.0
AGUAS LINDAS DE GOIAS,December de 2021,2.0
AGUAS LINDAS DE GOIAS,January de 2022,0.0
AGUAS LINDAS DE GOIAS,February de 2022,0.0
AGUAS LINDAS DE GOIAS,March de 2022,2.0
AGUAS LINDAS DE GOIAS,April de 2022,1.0
AGUAS LINDAS DE GOIAS,May de 2022,0.0
AGUAS LINDAS DE GOIAS,June de 2022,1.0
AGUAS LINDAS DE GOIAS,July de 2022,0.0
AGUAS LINDAS DE GOIAS,August de 2022,3.0
AGUAS LINDAS DE GOIAS,September de 2022,2.0
AGUAS LINDAS DE GOIAS,October de 2022,2.0
AGUAS LINDAS DE GOIAS,November de 2022,3.0
AGUAS LINDAS DE GOIAS,December de 2022,1.0
AGUAS LINDAS DE GOIAS,January de 2023,1.0
AGUAS LINDAS DE GOIAS,February de 2023,3.0
AGUAS LINDAS DE GOIAS,March de 2023,2.0
AGUAS LINDAS DE GOIAS,April de 2023,3.0
AGUAS LINDAS DE GOIAS,May de 2023,3.0
AGUAS LINDAS DE GOIAS,June de 2023,0.0
AGUAS LINDAS DE GOIAS,July de 2023,2.0
AGUAS LINDAS DE GOIAS,August de 2023,2.0
AGUAS LINDAS DE GOIAS,September de 2023,0.0
AGUAS LINDAS DE GOIAS,October de 2023,0.0
AGUAS LINDAS DE GOIAS,November de 2023,1.0
AGUAS LINDAS DE GOIAS,December de 2023,2.0
AGUAS LINDAS DE GOIAS,January de 2024,0.0
AGUAS LINDAS DE GOIAS,February de 2024,1.0
AGUAS LINDAS DE GOIAS,March de 2024,1.0
AGUAS LINDAS DE GOIAS,April de 2024,1.0
AGUAS LINDAS DE GOIAS,May de 2024,4.0
AGUAS LINDAS DE GOIAS,June de 2024,1.0
AGUAS LINDAS DE GOIAS,July de 2024,0.0
AGUAS LINDAS DE GOIAS,August de 2024,0.0
ALEXANIA,January de 2021,0.0
ALEXANIA,February de 2021,0.0
ALEXANIA,March de 2021,0.0
ALEXANIA,April de 2021,0.0
ALEXANIA,May de 2021,0.0
ALEXANIA,June de 2021,0.0
ALEXANIA,July de 2021,0.0
ALEXANIA,August de 2021,0.0
ALEXANIA,September de 2021,0.0
ALEXANIA,October de 2021,0.0
ALEXANIA,November de 2021,0.0
ALEXANIA,December de 2021,2.0
ALEXANIA,January de 2022,0.0
ALEXANIA,February de 2022,0.0
ALEXANIA,March de 2022,0.0
ALEXANIA,April de 2022,0.0
ALEXANIA,May de 2022,0.0
ALEXANIA,June de 2022,0.0
ALEXANIA,July de 2022,0.0
ALEXANIA,August de 2022,1.0
ALEXANIA,September de 2022,0.0
ALEXANIA,October de 2022,0.0
ALEXANIA,November de 2022,0.0
ALEXANIA,December de 2022,0.0
ALEXANIA,January de 2023,1.0
ALEXANIA,February de 2023,0.0
ALEXANIA,March de 2023,0.0
ALEXANIA,April de 2023,0.0
ALEXANIA,May de 2023,0.0
ALEXANIA,June de 2023,1.0
ALEXANIA,July de 2023,1.0
ALEXANIA,August de 2023,0.0
ALEXANIA,September de 2023,0.0
ALEXANIA,October de 2023,1.0
ALEXANIA,November de 2023,0.0
ALEXANIA,December de 2023,0.0
ALEXANIA,January de 2024,0.0
ALEXANIA,February de 2024,1.0
ALEXANIA,March de 2024,1.0
ALEXANIA,April de 2024,0.0
ALEXANIA,May de 2024,1.0
ALEXANIA,June de 2024,0.0
ALEXANIA,July de 2024,0.0
ALEXANIA,August de 2024,0.0
ALOANDIA,January de 2021,0.0
ALOANDIA,February de 2021,0.0
ALOANDIA,March de 2021,0.0
ALOANDIA,April de 2021,0.0
ALOANDIA,May de 2021,0.0
ALOANDIA,June de 2021,0.0
ALOANDIA,July de 2021,0.0
ALOANDIA,August de 2021,0.0
ALOANDIA,September de 2021,0.0
ALOANDIA,October de 2021,0.0
ALOANDIA,November de 2021,0.0
ALOANDIA,December de 2021,0.0
ALOANDIA,January de 2022,0.0
ALOANDIA,February de 2022,0.0
ALOANDIA,March de 2022,0.0
ALOANDIA,April de 2022,0.0
ALOANDIA,May de 2022,0.0
ALOANDIA,June de 2022,0.0
ALOANDIA,July de 2022,0.0
